session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,2020 US presidential election,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status,U.S. Political Affiliation
6054ce97ea8db06923d66a92,5da947c15854ba0011d3a88b,APPROVED,2021-03-19 16:17:31.263000,2021-03-19 16:19:46.211000,134.948,40,226,2,100,2021-03-21 03:40:50.666000,2C804BBF,Joe Biden,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No,Independent
6054cef051e8cf38a89051de,5f223de7dd502e6f2f42b8a1,APPROVED,2021-03-19 16:18:59.362000,2021-03-19 16:21:07.827000,128.465,34,223,0,100,2021-03-21 03:40:52.333000,2C804BBF,Joe Biden,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No,Democrat
6054d13757770851ca36a4f8,5d65d503db78ac000184b1b3,APPROVED,2021-03-19 16:28:43.164000,2021-03-19 16:30:04.445000,81.281,28,294,1,100,2021-03-21 03:40:53.769000,2C804BBF,Joe Biden,United States,United States,Full-Time,DATA EXPIRED,United States,Female,Yes,Democrat
6054d16f04a6ea841d0291cb,5f9ffbdedf389001027d9b36,APPROVED,2021-03-19 16:29:37.714000,2021-03-19 16:31:20.964000,103.25,22,65,0,100,2021-03-21 03:40:55.612000,2C804BBF,Joe Biden,United States,United States,Full-Time,DATA EXPIRED,United States,Female,No,Democrat
6054d22806e2624f6758ad40,58f390b1e174d70001585a94,APPROVED,2021-03-19 16:32:43.796000,2021-03-19 16:33:50.243000,66.447,28,1090,2,100,2021-03-21 03:40:56.739000,2C804BBF,Joe Biden,United States,United States,Full-Time,English,United States,Female,No,
6054d2b2723cd08818688d40,5484821efdf99b07b28f2300,APPROVED,2021-03-19 16:35:04.591000,2021-03-19 16:36:24.754000,80.163,36,1129,0,100,2021-03-21 03:41:01.074000,2C804BBF,Joe Biden,United States,United States,Full-Time,English,United States,Female,No,Democrat
6054d2b9aec7bf698b0e7fda,5ef8a4a91d1dac5fe798bf93,APPROVED,2021-03-19 16:35:09.021000,2021-03-19 16:37:25.082000,136.061,47,323,2,100,2021-03-21 03:41:05.362000,2C804BBF,Joe Biden,United States,United States,Full-Time,English,United States,Male,No,Democrat
6054d3694f986f10f13902b2,5e2607f255bb34069925b037,APPROVED,2021-03-19 16:38:04.606000,2021-03-19 16:40:18.316000,133.71,28,585,0,100,2021-03-21 03:41:07.105000,2C804BBF,Joe Biden,United States,United States,Full-Time,English,United States,Female,No,Independent
6054d36b5f386c8a2f32e6f2,5fd8c3c3829c45293cfb0430,APPROVED,2021-03-19 16:38:03.638000,2021-03-19 16:40:08.419000,124.781,18,260,0,100,2021-03-21 03:41:09.715000,2C804BBF,Joe Biden,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",DATA EXPIRED,United States,Female,Yes,Republican
6054d3b9fb4aad570fb9df66,5ea497072b246644ea12dc12,APPROVED,2021-03-19 16:39:23.734000,2021-03-19 16:41:19.849000,116.115,22,635,1,100,2021-03-21 03:41:11.454000,2C804BBF,Joe Biden,United States,United States,Part-Time,English,United States,Female,Yes,Democrat
6054d44819db91d45c88b85a,5d548b387aff650016a18b79,APPROVED,2021-03-19 16:41:47.679000,2021-03-19 16:42:54.584000,66.905,30,580,2,99,2021-03-21 03:41:14.013000,2C804BBF,Joe Biden,United States,United States,Full-Time,English,United States,Male,No,Democrat
