session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,2020 US presidential election,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status,U.S. Political Affiliation
6054ce33b921133ff5781005,5ed8a78f267213000c422f99,APPROVED,2021-03-19 16:15:58.842000,2021-03-19 16:20:00.204000,241.362,53,385,0,100,2021-03-21 03:34:24.261000,726F3960,Donald Trump,United States,United States,Full-Time,English,United States,Male,No,Republican
6054d0b6136b4410ba25c57e,5e137b62d067fe03e6e6fdab,APPROVED,2021-03-19 16:26:34.063000,2021-03-19 16:30:02.903000,208.84,33,555,3,99,2021-03-21 03:34:26.612000,726F3960,Donald Trump,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No,Republican
6054d15b5019f92d5f1d688e,5f56c18c1766951352701182,APPROVED,2021-03-19 16:29:19.063000,2021-03-19 16:32:22.664000,183.601,29,299,3,99,2021-03-21 03:34:29.080000,726F3960,Donald Trump,United States,United States,Other,DATA EXPIRED,United States,Female,No,Republican
6054d24799aa2ee2b8c6b1c3,5e64473bac08301d3ddfd6a9,APPROVED,2021-03-19 16:33:15.710000,2021-03-19 16:35:07.694000,111.984,27,65,0,100,2021-03-21 03:34:30.967000,726F3960,Donald Trump,United States,United States,Unemployed (and job seeking),English,United States,Male,No,Republican
6054d3912bf89fd75ae80162,56888951d7848e000c39a122,RETURNED,2021-03-19 16:38:45.295000,,882511.513568,38,1413,25,95,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6054d6bf4ef04bd7c1406619,5750a40d6c3d370007d1a373,APPROVED,2021-03-19 16:52:23.707000,2021-03-19 16:53:53.473000,89.766,46,672,0,100,2021-03-21 03:34:32.089000,726F3960,Donald Trump,United States,United States,Full-Time,English,United States,Female,No,Republican
6054d829ad19fc36dded37f8,5d8e46b78133dc00142ef00b,APPROVED,2021-03-19 16:58:20.882000,2021-03-19 16:59:40.202000,79.32,30,715,4,99,2021-03-21 03:34:34.980000,726F3960,Donald Trump,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No,Republican
6054d94b304d24f3b672a609,6015ac53ea3f236bb3cbf553,APPROVED,2021-03-19 17:03:12.020000,2021-03-19 17:06:14.005000,181.985,32,72,0,100,2021-03-21 03:34:38.044000,726F3960,Donald Trump,United States,United States,Unemployed (and job seeking),,United States,Male,No,Republican
6054d9df53b6734c2be9d46d,600fa796b9d3f71a82758e29,APPROVED,2021-03-19 17:05:37.445000,2021-03-19 17:06:44.363000,66.918,19,123,2,99,2021-03-21 03:34:39.333000,726F3960,Donald Trump,United States,United States,Part-Time,DATA EXPIRED,United States,Male,Yes,Republican
6054d9fbc968d7abe7830ac1,59baa8d10ac77f0001f05218,APPROVED,2021-03-19 17:06:07.927000,2021-03-19 17:07:41.540000,93.613,35,526,2,100,2021-03-21 03:34:40.594000,726F3960,Donald Trump,South Africa,United States,Full-Time,English,United States,Male,No,
6054db142db2526a4c270518,6052ce6648062d6f12be485c,APPROVED,2021-03-19 17:10:48.290000,2021-03-19 17:13:07.052000,138.762,20,30,0,100,2021-03-21 03:34:43.218000,726F3960,Donald Trump,United States,United States,Full-Time,,United States,Female,No,Independent
6054db4b7a761f25f8608619,5deaac8dff7f711d9032fa94,APPROVED,2021-03-19 17:11:42.298000,2021-03-19 17:13:19.148000,96.85,30,991,1,100,2021-03-21 03:34:44.108000,726F3960,Donald Trump,United States,United States,Full-Time,English,United States,Female,No,Democrat
6054dc55547b0f1af75b25d3,5e7a9f49facc7808ee3e4541,APPROVED,2021-03-19 17:16:09.383000,2021-03-19 17:17:41.356000,91.973,48,428,0,100,2021-03-21 03:34:47.886000,726F3960,Donald Trump,United States,United States,Full-Time,English,United States,Female,No,Republican
6054dc7afccd353066d9ec7c,5de50461a1d49a0845d168fc,APPROVED,2021-03-19 17:16:46.826000,2021-03-19 17:21:42.913000,296.087,65,697,2,100,2021-03-21 03:34:50.130000,726F3960,Donald Trump,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Male,No,Republican
